rank,molecule_id,name,smiles,formula,final_score,ir_similarity,raman_similarity,peak_score,mass_score,validity,notes
1,mol_03,phenol,c1ccc(cc1)O,C6H6O,0.9704489304682034,0.9976214245331854,0.9753940166001454,0.9758154107144272,0.85,1.0,RDKit sanitized candidate. | retrieval=0.989 | embed=0.997
2,mol_04,aniline,Nc1ccccc1,C6H7N,0.8224029572117867,0.8208642126815934,0.9704030289511798,0.6018867423797735,0.7502920789650592,1.0,RDKit sanitized candidate. | retrieval=0.909 | embed=0.994
3,mol_12,methyl benzoate,COC(=O)c1ccccc1,C8H8O2,0.5733200309040617,0.37701904135462266,0.8841583093683254,0.5746778129754595,0.15,1.0,RDKit sanitized candidate. | retrieval=0.680 | embed=0.979
4,mol_01,benzene,c1ccccc1,C6H6,0.5474121162692084,0.4390166889851702,0.8531685613656893,0.37692993643242545,0.15,1.0,RDKit sanitized candidate. | retrieval=0.699 | embed=0.993
5,mol_02,toluene,Cc1ccccc1,C7H8,0.540094786173945,0.37342814690027437,0.7457890826212878,0.3549757017760904,0.5262058003627054,1.0,RDKit sanitized candidate. | retrieval=0.631 | embed=0.991
