wavenumber,intensity
400.0,0.0
404.0,0.0
408.0,0.0
412.0,0.0
416.0,0.0
420.0,0.0
424.0,0.0
428.0,0.0
432.0,0.0
436.0,0.0
440.0,0.0
444.0,0.0
448.0,0.0
452.0,0.0
456.0,0.0
460.0,0.0
464.0,0.0
468.0,0.0
472.0,0.0
476.0,0.0
480.0,0.0
484.0,0.0
488.0,0.0
492.0,0.0
496.0,0.0
500.0,0.0
504.0,0.0
508.0,0.0
512.0,0.0
516.0,0.0
520.0,0.0
524.0,0.0
528.0,0.0
532.0,0.0
536.0,0.0
540.0,0.0
544.0,0.0
548.0,0.0
552.0,0.0
556.0,0.0
560.0,0.0
564.0,0.0
568.0,0.0
572.0,0.0
576.0,0.0
580.0,0.0
584.0,0.0
588.0,0.0
592.0,0.0
596.0,0.0
600.0,0.0
604.0,0.0
608.0,0.0
612.0,0.0
616.0,0.0
620.0,0.0
624.0,0.0
628.0,0.0
632.0,0.0
636.0,0.0
640.0,0.0
644.0,0.0
648.0,0.0
652.0,1.9274698443942686e-18
656.0,1.9274698443942686e-18
660.0,3.854939688788537e-18
664.0,9.637349221971343e-18
668.0,2.3129638132731222e-17
672.0,5.011421595425098e-17
676.0,1.0601084144168477e-16
680.0,2.2551397179412945e-16
684.0,4.760850515653843e-16
688.0,9.965019095518369e-16
692.0,2.0720300827238387e-15
696.0,4.2674182354889105e-15
700.0,8.723728515728459e-15
704.0,1.7694173171539386e-14
708.0,3.5606150435495325e-14
712.0,7.108508786126063e-14
716.0,1.4079974466315693e-13
720.0,2.7668829616279727e-13
724.0,5.394467677601572e-13
728.0,1.0434608573708143e-12
732.0,2.0024966080873154e-12
736.0,3.812730026666147e-12
740.0,7.202258991887556e-12
744.0,1.3498019278607265e-11
748.0,2.509804358168074e-11
752.0,4.6299704945448617e-11
756.0,8.473934784545449e-11
760.0,1.538723327977095e-10
764.0,2.7720719610201616e-10
768.0,4.9546958495094e-10
772.0,8.78613833166588e-10
776.0,1.5457797391807968e-09
780.0,2.698147712005578e-09
784.0,4.672532927980583e-09
788.0,8.028003568512988e-09
792.0,1.3684573944284111e-08
796.0,2.3143207100247333e-08
800.0,3.8831515491100055e-08
804.0,6.464183497996358e-08
808.0,1.0676073365953124e-07
812.0,1.7493550394202128e-07
816.0,2.8438907501463366e-07
820.0,4.586869606448659e-07
824.0,7.33987083687139e-07
828.0,1.1652764729091479e-06
832.0,1.8354310572720892e-06
836.0,2.868241476207042e-06
840.0,4.446946295756286e-06
844.0,6.840322774039816e-06
848.0,1.0439022735712321e-05
852.0,1.5805623386345015e-05
856.0,2.374280104647143e-05
860.0,3.538513162810938e-05
864.0,5.2321262663776975e-05
868.0,7.67545546741174e-05
872.0,0.00011171169376424316
876.0,0.00016131013648636665
880.0,0.0002310964236853821
884.0,0.0003284682054702123
888.0,0.0004631930164679101
892.0,0.000648036140892417
896.0,0.0008995079799848802
900.0,0.0012387378226081812
904.0,0.0016924754645784629
908.0,0.0022942144003615128
912.0,0.003085420081555407
916.0,0.004116833899864163
920.0,0.005449808212368616
924.0,0.007157610259124147
928.0,0.009326613935164143
932.0,0.012057279158510181
936.0,0.01546480051368192
940.0,0.01967929182869816
944.0,0.024845363578730042
948.0,0.031120947939781943
952.0,0.03867523443146023
956.0,0.04768559970299021
960.0,0.058333449988932445
964.0,0.07079894517606214
968.0,0.08525463926417033
972.0,0.1018581518399509
976.0,0.12074407591004943
980.0,0.14201542411622325
984.0,0.16573501118364237
988.0,0.1919172569365469
992.0,0.22052096154147457
996.0,0.25144364230602695
1000.0,0.2845180190630552
1004.0,0.3195111839118635
1008.0,0.35612688449523644
1012.0,0.3940111857101122
1016.0,0.4327615558018695
1020.0,0.4719391586931497
1024.0,0.5110838418144906
1028.0,0.549731011399747
1032.0,0.5874293150511052
1036.0,0.6237578382336117
1040.0,0.658341401839887
1044.0,0.6908625531555107
1048.0,0.7210689950707868
1052.0,0.7487755073596166
1056.0,0.7738598706289178
1060.0,0.7962528789946076
1064.0,0.8159231718088616
1068.0,0.8328582601651708
1072.0,0.8470436911804986
1076.0,0.8584427006587059
1080.0,0.8669788802726038
1084.0,0.8725242775843279
1088.0,0.8748949365258423
1092.0,0.8738551918180982
1096.0,0.8691311136579571
1100.0,0.8604324560734278
1104.0,0.8474814170994138
1108.0,0.8300456052291025
1112.0,0.8079719498123126
1116.0,0.7812179909828053
1120.0,0.7498770915165609
1124.0,0.7141946294147682
1128.0,0.6745731010966135
1132.0,0.6315651871446024
1136.0,0.5858550674205498
1140.0,0.5382294674172676
1144.0,0.4895409278728946
1148.0,0.44066649805780395
1152.0,0.39246538670910336
1156.0,0.3457390425422558
1160.0,0.301196710106917
1164.0,0.25942879240014466
1168.0,0.2208894555103705
1172.0,0.1858889521962261
1176.0,0.15459523577456474
1180.0,0.12704367846885356
1184.0,0.10315316482920146
1188.0,0.08274653148102563
1192.0,0.06557326582502271
1196.0,0.05133252660025287
1200.0,0.0396948570788911
1204.0,0.030321366218990023
1208.0,0.022879593560993047
1212.0,0.01705569703308391
1216.0,0.012562969086741206
1220.0,0.009146970882920361
1224.0,0.006587766664603556
1228.0,0.004699843714946221
1232.0,0.0033303293903076034
1236.0,0.0023560830620961205
1240.0,0.0016801667395059086
1244.0,0.0012281020828488237
1248.0,0.0009442189917110565
1252.0,0.0007883036213927079
1256.0,0.0007326691091557782
1260.0,0.0007597043230123562
1264.0,0.0008599054336500926
1268.0,0.0010303607894695374
1272.0,0.0012736389122599571
1276.0,0.0015970193470175836
1280.0,0.0020120035086576447
1284.0,0.002534044832529401
1288.0,0.003182442248281568
1292.0,0.003980346638698856
1296.0,0.004954835452331327
1300.0,0.006137015418615113
1304.0,0.007562117142890954
1308.0,0.009269548277946963
1312.0,0.011302874194603412
1316.0,0.013709696923042991
1320.0,0.016541404969443917
1324.0,0.01985276879129484
1328.0,0.023701359573324546
1332.0,0.028146772766933868
1336.0,0.033249642853485986
1340.0,0.0390704420971914
1344.0,0.04566806370360657
1348.0,0.05309819872837051
1352.0,0.0614115261115897
1356.0,0.07065174605879604
1360.0,0.08085349825449545
1364.0,0.09204021758622227
1368.0,0.10422199060247274
1372.0,0.11739348519778903
1376.0,0.1315320333591204
1380.0,0.14659595157906
1384.0,0.16252318515818384
1388.0,0.1792303605934914
1392.0,0.19661232423701308
1396.0,0.21454223524181174
1400.0,0.23287226653653992
1404.0,0.25143494946066997
1408.0,0.2700451762659767
1412.0,0.2885028506931683
1416.0,0.30659615122163847
1420.0,0.3241053454904869
1424.0,0.34080706904148683
1428.0,0.35647895823140824
1432.0,0.37090450717105006
1436.0,0.3838780030407183
1440.0,0.39520938410089435
1444.0,0.4047288609133411
1448.0,0.41229114416334794
1452.0,0.4177791321408693
1456.0,0.4211069271514086
1460.0,0.4222220722858394
1464.0,0.4211069271514086
1468.0,0.4177791321408693
1472.0,0.41229114416334783
1476.0,0.404728860913341
1480.0,0.3952093841008941
1484.0,0.3838780030407178
1488.0,0.37090450717104906
1492.0,0.35647895823140613
1496.0,0.34080706904148256
1500.0,0.3241053454904782
1504.0,0.30659615122162065
